date,visitor_count,ec_value,cycle_attraction_max,duty_cycle_max,capacite salle,capacite file d'attente,capacite pre-salle,is_weekend,jf,is_open,type_frequentation,temperature,temp_max,temp_min,temp_moy,humidite,humidite_max,humidite_min,humidite_moy,rayonnement_solaire,hour,min,day,month,year,week
2025-01-01 00:00:00,0,50.25,4.5,0.6,190,800,190,0,1,1,HF,1.8,6.2,-0.15,3.2833335,94.08705,98.916115,76.33169,87.733055,0.0,0,0,1,1,2025,1
2025-01-01 01:00:00,0,50.0,4.5,0.6,190,800,190,0,1,1,HF,1.65,6.2,-0.15,3.2833335,93.40438,98.916115,76.33169,87.733055,0.0,1,0,1,1,2025,1
2025-01-01 02:00:00,0,60.0,4.5,0.6,190,800,190,0,1,1,HF,2.05,6.2,-0.15,3.2833335,93.42521,98.916115,76.33169,87.733055,0.0,2,0,1,1,2025,1
2025-01-01 03:00:00,0,60.0,4.5,0.6,190,800,190,0,1,1,HF,1.85,6.2,-0.15,3.2833335,94.428314,98.916115,76.33169,87.733055,0.0,3,0,1,1,2025,1
2025-01-01 04:00:00,0,58.77777777777778,4.5,0.6,190,800,190,0,1,1,HF,1.6,6.2,-0.15,3.2833335,93.73918,98.916115,76.33169,87.733055,0.0,4,0,1,1,2025,1
2025-01-01 05:00:00,0,60.22222222222222,4.5,0.6,190,800,190,0,1,1,HF,0.75,6.2,-0.15,3.2833335,95.41132,98.916115,76.33169,87.733055,0.0,5,0,1,1,2025,1
2025-01-01 06:00:00,0,52.0,4.5,0.6,190,800,190,0,1,1,HF,0.25,6.2,-0.15,3.2833335,96.439,98.916115,76.33169,87.733055,0.0,6,0,1,1,2025,1
2025-01-01 07:00:00,0,60.0,4.5,0.6,190,800,190,0,1,1,HF,0.2,6.2,-0.15,3.2833335,97.1409,98.916115,76.33169,87.733055,0.0,7,0,1,1,2025,1
2025-01-01 08:00:00,0,20.0,4.5,0.6,190,800,190,0,1,1,HF,-0.15,6.2,-0.15,3.2833335,98.916115,98.916115,76.33169,87.733055,0.0,8,0,1,1,2025,1
2025-01-01 09:00:00,54,108.0,4.5,0.6,190,800,190,0,1,1,HF,-0.05,6.2,-0.15,3.2833335,97.84442,98.916115,76.33169,87.733055,1.0,9,0,1,1,2025,1
2025-01-01 10:00:00,272,108.0,4.5,0.6,190,800,190,0,1,1,HF,0.9,6.2,-0.15,3.2833335,94.386,98.916115,76.33169,87.733055,38.0,10,0,1,1,2025,1
2025-01-01 11:00:00,505,92.0,4.5,0.6,190,800,190,0,1,1,HF,2.7,6.2,-0.15,3.2833335,87.29953,98.916115,76.33169,87.733055,123.0,11,0,1,1,2025,1
2025-01-01 12:00:00,591,89.0,4.5,0.6,190,800,190,0,1,1,HF,4.55,6.2,-0.15,3.2833335,81.169876,98.916115,76.33169,87.733055,258.0,12,0,1,1,2025,1
2025-01-01 13:00:00,528,70.0,4.5,0.6,190,800,190,0,1,1,HF,6.0,6.2,-0.15,3.2833335,76.33169,98.916115,76.33169,87.733055,326.0,13,0,1,1,2025,1
2025-01-01 14:00:00,554,60.0,4.5,0.6,190,800,190,0,1,1,HF,5.8,6.2,-0.15,3.2833335,78.78381,98.916115,76.33169,87.733055,327.0,14,0,1,1,2025,1
2025-01-01 15:00:00,458,60.0,4.5,0.6,190,800,190,0,1,1,HF,6.2,6.2,-0.15,3.2833335,76.63707,98.916115,76.33169,87.733055,281.0,15,0,1,1,2025,1
2025-01-01 16:00:00,389,60.0,4.5,0.6,190,800,190,0,1,1,HF,5.95,6.2,-0.15,3.2833335,79.08689,98.916115,76.33169,87.733055,177.0,16,0,1,1,2025,1
2025-01-01 17:00:00,417,60.0,4.5,0.6,190,800,190,0,1,1,HF,5.35,6.2,-0.15,3.2833335,82.44273,98.916115,76.33169,87.733055,62.0,17,0,1,1,2025,1
2025-01-01 18:00:00,208,60.0,4.5,0.6,190,800,190,0,1,1,HF,4.85,6.2,-0.15,3.2833335,85.66438,98.916115,76.33169,87.733055,2.0,18,0,1,1,2025,1
2025-01-01 19:00:00,88,60.0,4.5,0.6,190,800,190,0,1,1,HF,4.8,6.2,-0.15,3.2833335,86.269035,98.916115,76.33169,87.733055,0.0,19,0,1,1,2025,1
2025-01-01 20:00:00,22,53.0,4.5,0.6,190,800,190,0,1,1,HF,4.95,6.2,-0.15,3.2833335,84.16828,98.916115,76.33169,87.733055,0.0,20,0,1,1,2025,1
2025-01-01 21:00:00,1,0.0,4.5,0.6,190,800,190,0,1,1,HF,5.45,6.2,-0.15,3.2833335,80.14522,98.916115,76.33169,87.733055,0.0,21,0,1,1,2025,1
2025-01-01 22:00:00,0,0.0,4.5,0.6,190,800,190,0,1,1,HF,5.6,6.2,-0.15,3.2833335,79.316055,98.916115,76.33169,87.733055,0.0,22,0,1,1,2025,1
2025-01-01 23:00:00,0,0.0,4.5,0.6,190,800,190,0,1,1,HF,5.75,6.2,-0.15,3.2833335,79.05685,98.916115,76.33169,87.733055,0.0,23,0,1,1,2025,1
2025-01-02 00:00:00,0,79.0,4.5,0.6,190,800,190,0,0,1,HF,6.1,9.4,5.15,6.883333,78.82936,98.961685,72.72385,90.01523,0.0,0,0,2,1,2025,1
2025-01-02 01:00:00,0,1.0,4.5,0.6,190,800,190,0,0,1,HF,6.5,9.4,5.15,6.883333,78.61141,98.961685,72.72385,90.01523,0.0,1,0,2,1,2025,1
2025-01-02 02:00:00,0,0.0,4.5,0.6,190,800,190,0,0,1,HF,7.9,9.4,5.15,6.883333,76.91503,98.961685,72.72385,90.01523,0.0,2,0,2,1,2025,1
2025-01-02 03:00:00,0,0.0,4.5,0.6,190,800,190,0,0,1,HF,8.0,9.4,5.15,6.883333,72.72385,98.961685,72.72385,90.01523,0.0,3,0,2,1,2025,1
2025-01-02 04:00:00,0,0.0,4.5,0.6,190,800,190,0,0,1,HF,7.65,9.4,5.15,6.883333,77.96166,98.961685,72.72385,90.01523,0.0,4,0,2,1,2025,1
